Date,Open,High,Low,Close
2025-07-01,16.98,17.48,16.51,16.83
2025-07-02,16.75,17.37,16.54,16.64
2025-07-03,16.65,16.83,16.14,16.38
2025-07-07,17.83,18.5,17.51,17.79
2025-07-08,17.41,17.44,16.54,16.81
2025-07-09,16.76,16.76,15.76,15.94
2025-07-10,16.23,16.24,15.7,15.78
2025-07-11,16.41,17.24,15.98,16.4
2025-07-14,17.73,17.85,16.91,17.2
2025-07-15,16.89,17.39,16.56,17.38
2025-07-16,17.66,19.48,16.69,17.16
2025-07-17,17.16,17.37,16.48,16.52
2025-07-18,16.43,16.81,16.28,16.41
2025-07-21,16.87,16.99,16.3,16.65
2025-07-22,16.75,17.48,16.43,16.5
2025-07-23,16.23,16.32,15.32,15.37
2025-07-24,15.39,15.54,14.95,15.39
2025-07-25,15.33,15.39,14.92,14.93
2025-07-28,15.15,15.54,15.0,15.03
2025-07-29,14.95,16.12,14.7,15.98
2025-07-30,15.87,17.27,15.44,15.48
2025-07-31,14.99,17.17,14.74,16.72
2025-08-01,17.4,21.9,17.39,20.38
2025-08-04,19.56,19.58,17.48,17.52
2025-08-05,17.21,18.94,17.11,17.85
2025-08-06,17.22,17.88,16.56,16.77
2025-08-07,16.41,17.64,15.98,16.57
2025-08-08,16.48,16.52,15.15,15.15
2025-08-11,15.81,16.36,15.52,16.25
2025-08-12,16.09,16.56,14.66,14.73
2025-08-13,14.62,14.81,14.3,14.49
2025-08-14,14.66,15.39,14.57,14.83
2025-08-15,14.43,15.18,14.4,15.09
2025-08-18,15.73,15.95,14.95,14.99
2025-08-19,15.23,15.91,14.76,15.57
2025-08-20,15.95,17.19,15.57,15.69
2025-08-21,15.72,17.24,15.65,16.6
2025-08-22,16.81,16.83,14.21,14.22
2025-08-25,15.05,15.19,14.24,14.79
2025-08-26,15.75,15.75,14.62,14.62
2025-08-27,14.66,15.23,14.66,14.85
2025-08-28,14.42,14.69,14.12,14.43
2025-08-29,14.31,15.97,14.31,15.36
2025-09-02,16.65,19.38,16.55,17.17
2025-09-03,17.4,17.57,16.34,16.35
2025-09-04,16.22,16.35,15.28,15.3
2025-09-05,15.23,16.92,14.74,15.18
2025-09-08,15.58,15.65,14.99,15.11
2025-09-09,15.02,15.82,14.97,15.04
2025-09-10,14.98,15.63,14.63,15.35
2025-09-11,15.19,15.24,14.65,14.71
2025-09-12,14.62,14.97,14.41,14.76
2025-09-15,15.14,15.84,14.92,15.69
2025-09-16,15.6,16.38,15.44,16.36
2025-09-17,16.42,16.75,15.26,15.72
2025-09-18,14.93,15.8,14.33,15.7
2025-09-19,15.76,16.13,15.29,15.45
2025-09-22,16.14,16.35,15.78,16.1
2025-09-23,16.1,17.07,15.95,16.64
2025-09-24,16.57,17.21,16.18,16.18
2025-09-25,16.55,17.74,16.32,16.74
2025-09-26,16.89,17.05,15.29,15.29
2025-09-29,15.84,16.29,15.74,16.12
2025-09-30,16.49,16.7,16.02,16.28
2025-10-01,17.28,17.28,15.98,16.29
2025-10-02,16.12,16.92,15.93,16.63
2025-10-03,16.35,17.06,16.2,16.65
2025-10-06,16.74,17.09,16.29,16.37
2025-10-07,16.58,17.55,16.19,17.24
2025-10-08,17.17,17.2,16.23,16.3
2025-10-09,16.31,17.27,16.26,16.43
2025-10-10,16.36,22.44,16.23,21.66
2025-10-13,19.45,20.77,18.61,19.03
2025-10-14,21.46,22.94,19.18,20.81
2025-10-15,20.02,22.44,19.11,20.64
2025-10-16,20.49,25.43,19.85,25.31
2025-10-17,28.41,28.99,20.73,20.78
2025-10-20,20.53,21.02,18.23,18.23
2025-10-21,18.65,18.89,17.4,17.87
2025-10-22,17.84,21.01,17.73,18.6
2025-10-23,18.36,19.35,17.08,17.3
2025-10-24,17.02,17.22,16.02,16.37
2025-10-27,15.73,16.07,15.62,15.79
2025-10-28,15.95,16.55,15.66,16.42
2025-10-29,16.34,17.58,16.26,16.92
2025-10-30,16.26,17.41,15.73,16.91
2025-10-31,16.43,18.54,15.96,17.44
2025-11-03,18.06,18.83,17.0,17.17
2025-11-04,19.73,20.48,17.9,19.0
2025-11-05,19.37,20.02,17.31,18.01
2025-11-06,18.36,20.31,17.64,19.5
