Date,Open,High,Low,Close,Adj Close,Volume
2025-09-25,34.51,34.87,33.5,34.3,34.3,8925100.0
2025-09-26,33.92,34.44,32.84,32.84,32.84,6549300.0
2025-09-29,32.72,33.52,32.68,33.27,33.27,5358400.0
2025-09-30,33.5,33.62,33.02,33.16,33.16,5086900.0
2025-10-01,33.44,33.49,32.86,32.97,32.97,5662800.0
2025-10-02,32.8,33.49,32.78,33.44,33.44,5370300.0
2025-10-03,33.2,33.71,33.08,33.25,33.25,7328000.0
2025-10-06,33.09,33.52,32.99,33.05,33.05,4569100.0
2025-10-07,33.0,34.03,32.86,33.77,33.77,6923600.0
2025-10-08,33.61,33.81,33.1,33.24,33.24,4665100.0
2025-10-09,33.0,33.81,32.95,33.23,33.23,6321600.0
2025-10-10,33.25,37.87,33.01,37.47,37.47,43848400.0
2025-10-13,35.36,35.69,34.41,34.62,34.62,11007400.0
2025-10-14,36.59,37.81,34.98,36.15,36.15,13616500.0
2025-10-15,35.27,37.47,35.01,36.58,36.58,10753800.0
2025-10-16,36.22,40.24,36.08,39.97,39.97,26356300.0
2025-10-17,39.22,40.83,36.77,36.95,36.95,19695600.0
2025-10-20,35.81,35.83,33.91,33.99,33.99,11361100.0
2025-10-21,34.3,34.85,33.46,33.72,33.72,7986300.0
2025-10-22,33.9,36.03,33.73,34.25,34.25,13318500.0
2025-10-23,34.37,34.56,33.42,33.47,33.47,5250600.0
2025-10-24,32.67,33.26,32.57,33.08,33.08,5955700.0
2025-10-27,32.03,32.41,31.84,32.0,32.0,7534700.0
2025-10-28,31.97,32.99,31.97,32.93,32.93,4983500.0
2025-10-29,32.68,33.59,32.29,33.57,33.57,7326600.0
2025-10-30,33.12,33.9,32.76,33.83,33.83,6679700.0
2025-10-31,33.08,34.68,33.03,34.0,34.0,6449900.0
2025-11-03,33.57,34.71,33.44,33.68,33.68,4859200.0
2025-11-04,34.85,35.31,34.08,34.89,34.89,8222300.0
2025-11-05,34.89,35.04,33.19,33.66,33.66,6234800.0
2025-11-06,33.87,35.51,33.69,34.99,34.99,10235600.0
